direction_name,block_id,route_id,service_id,direction_id,trip_headsign,wheelchair_accessible,shape_id,trip_id,start_time,end_time
Northbound,a_4070_Timetable_-_2023-10,407,Weekday_merged_999971,0,C - Harmony Terminal,1,100.0.1046829531_Timetable_-_2023-10,605__4070_Timetable_-_2023-10,0 days 16:24:00,0 days 16:52:00
Southbound,a_4019_Timetable_-_2023-10,407,Weekday_merged_999971,1,A - Raleigh,1,100.0.1046829532_Timetable_-_2023-10,606__4019_Timetable_-_2023-10,0 days 16:25:00,0 days 16:59:00
Southbound,a_4013_Timetable_-_2023-10,407,Weekday_merged_999971,1,Raleigh,1,100.0.1952647814_Timetable_-_2023-10,607__4013_Timetable_-_2023-10,0 days 16:55:00,0 days 17:20:00
Northbound,a_4019_Timetable_-_2023-10,407,Weekday_merged_999971,0,Harmony Terminal,1,100.0.1952647813_Timetable_-_2023-10,608__4019_Timetable_-_2023-10,0 days 16:59:00,0 days 17:25:00
Northbound,a_4013_Timetable_-_2023-10,407,Weekday_merged_999971,0,C - Harmony Terminal,1,100.0.1046829531_Timetable_-_2023-10,609__4013_Timetable_-_2023-10,0 days 17:24:00,0 days 17:52:00
Southbound,a_4062_Timetable_-_2023-10,407,Weekday_merged_999971,1,A - Raleigh,1,100.0.1046829532_Timetable_-_2023-10,610__4062_Timetable_-_2023-10,0 days 17:25:00,0 days 17:59:00
Southbound,a_4017_Timetable_-_2023-10,407,Weekday_merged_999971,1,Raleigh,1,100.0.1952647814_Timetable_-_2023-10,611__4017_Timetable_-_2023-10,0 days 17:55:00,0 days 18:20:00
Northbound,a_4062_Timetable_-_2023-10,407,Weekday_merged_999971,0,Harmony Terminal,1,100.0.1952647813_Timetable_-_2023-10,612__4062_Timetable_-_2023-10,0 days 17:59:00,0 days 18:25:00
Northbound,a_4017_Timetable_-_2023-10,407,Weekday_merged_999971,0,C - Harmony Terminal,1,100.0.1046829531_Timetable_-_2023-10,613__4017_Timetable_-_2023-10,0 days 18:24:00,0 days 18:52:00
Southbound,a_4070_Timetable_-_2023-10,407,Weekday_merged_999971,1,A - Raleigh,1,100.0.1046829532_Timetable_-_2023-10,614__4070_Timetable_-_2023-10,0 days 18:25:00,0 days 18:59:00
Southbound,a_4019_Timetable_-_2023-10,407,Weekday_merged_999971,1,Raleigh,1,100.0.1952647814_Timetable_-_2023-10,615__4019_Timetable_-_2023-10,0 days 18:55:00,0 days 19:20:00
Northbound,a_4070_Timetable_-_2023-10,407,Weekday_merged_999971,0,Harmony Terminal,1,100.0.1952647813_Timetable_-_2023-10,616__4070_Timetable_-_2023-10,0 days 18:59:00,0 days 19:25:00
Northbound,a_4019_Timetable_-_2023-10,407,Weekday_merged_999971,0,Harmony Terminal,1,100.0.1952647813_Timetable_-_2023-10,617__4019_Timetable_-_2023-10,0 days 19:24:00,0 days 19:47:00
Southbound,a_4013_Timetable_-_2023-10,407,Weekday_merged_999971,1,A - Raleigh,1,100.0.1046829532_Timetable_-_2023-10,618__4013_Timetable_-_2023-10,0 days 19:25:00,0 days 19:59:00
Southbound,a_4062_Timetable_-_2023-10,407,Weekday_merged_999971,1,Raleigh,1,100.0.1952647814_Timetable_-_2023-10,619__4062_Timetable_-_2023-10,0 days 19:55:00,0 days 20:18:00
Northbound,a_4013_Timetable_-_2023-10,407,Weekday_merged_999971,0,Harmony Terminal,1,100.0.1952647813_Timetable_-_2023-10,620__4013_Timetable_-_2023-10,0 days 19:59:00,0 days 20:22:00
Northbound,a_4062_Timetable_-_2023-10,407,Weekday_merged_999971,0,Harmony Terminal,1,100.0.1952647813_Timetable_-_2023-10,621__4062_Timetable_-_2023-10,0 days 20:24:00,0 days 20:47:00
